time,open_N,open_N-1,close_N,close_N-1,low_N,low_N-1,high_N,high_N-1,volume_N,volume_N-1,pattern_N,pattern_N-1,body_N,body_N-1,candle_height_N,candle_height_N-1,shadow_up_N,shadow_up_N-1,shadow_down_N,shadow_down_N-1,body_diff,shadow_sum_N,shadow_sum_N-1,ratio_up_shadow_to_body_N,ratio_up_shadow_to_body_N_abs,ratio_up_shadow_to_body_N-1,ratio_up_shadow_to_body_N-1_abs,ratio_down_shadow_to_body_N,ratio_down_shadow_to_body_N_abs,ratio_down_shadow_to_body_N-1,ratio_down_shadow_to_body_N-1_abs,ratio_sum_shadow_to_body_N,ratio_sum_shadow_to_body_N_abs,ratio_sum_shadow_to_body_N-1,ratio_sum_shadow_to_body_N-1_abs,ratio_of_body,ratio_of_body_abs,is_zero_body_N,is_zero_body_N-1,pattern,cluster,pca_1,pca_2
2009-01-11 16:00:00,2321,2334,2325,2320,2319,2319,2329,2335,1057,1528,1,1,4,-1,10,16,4,1,2,1,5,6,2,1.0,1.0,-1.0,1.0,0.5,0.5,-1.0,1.0,1.5,1.5,-2.0,2.0,-4.0,4.0,0,0,1,2,-5.515079680853052,0.09411017389550709
2009-01-12 15:00:00,2309,2321,2318,2308,2307,2306,2326,2322,3968,11053,1,1,9,-1,19,16,8,1,2,2,10,10,3,0.8888888888888888,0.8888888888888888,-1.0,1.0,0.2222222222222222,0.2222222222222222,-2.0,2.0,1.1111111111111112,1.1111111111111112,-3.0,3.0,-9.0,9.0,0,0,1,2,-5.408425438498985,0.29462176170762
2009-01-15 18:00:00,2050,2075,2069,2035,2035,2035,2071,2082,7832,8040,1,1,19,-15,36,47,2,7,15,0,34,17,7,0.10526315789473684,0.10526315789473684,-0.4666666666666667,0.4666666666666667,0.7894736842105263,0.7894736842105263,-0.0,0.0,0.8947368421052632,0.8947368421052632,-0.4666666666666667,0.4666666666666667,-1.2666666666666666,1.2666666666666666,0,0,1,2,-5.230347007779683,0.30970424198941565
2009-01-16 20:00:00,2018,2038,2033,2017,2011,2010,2038,2040,1433,2106,1,1,15,-1,27,30,5,2,7,7,16,12,9,0.3333333333333333,0.3333333333333333,-2.0,2.0,0.4666666666666667,0.4666666666666667,-7.0,7.0,0.8,0.8,-9.0,9.0,-15.0,15.0,0,0,1,2,-5.223884940975808,0.5710645783947531
2009-01-19 23:00:00,1890,1901,1896,1886,1879,1876,1900,1907,245,646,1,1,6,-4,21,31,4,6,11,10,10,15,16,0.6666666666666666,0.6666666666666666,-1.5,1.5,1.8333333333333333,1.8333333333333333,-2.5,2.5,2.5,2.5,-4.0,4.0,-1.5,1.5,0,0,1,2,-5.355589096155357,0.4201230357381231
2009-01-21 10:00:00,1670,1718,1685,1657,1640,1651,1695,1720,19262,3593,1,1,15,-13,55,69,10,2,30,6,28,40,8,0.6666666666666666,0.6666666666666666,-0.15384615384615385,0.15384615384615385,2.0,2.0,-0.46153846153846156,0.46153846153846156,2.6666666666666665,2.6666666666666665,-0.6153846153846154,0.6153846153846154,-1.1538461538461537,1.1538461538461537,0,0,1,2,-5.115408607234767,0.7415626400741985
2009-01-26 11:00:00,1510,1570,1554,1506,1507,1490,1570,1584,24760,14942,1,1,44,-4,63,94,16,14,3,16,48,19,30,0.36363636363636365,0.36363636363636365,-3.5,3.5,0.06818181818181818,0.06818181818181818,-4.0,4.0,0.4318181818181818,0.4318181818181818,-7.5,7.5,-11.0,11.0,0,0,1,2,-4.91799438803361,1.2636647667333327
2009-01-27 19:00:00,1664,1682,1670,1663,1655,1636,1684,1693,2547,12040,1,1,6,-1,29,57,14,11,9,27,7,23,38,2.3333333333333335,2.3333333333333335,-11.0,11.0,1.5,1.5,-27.0,27.0,3.8333333333333335,3.8333333333333335,-38.0,38.0,-6.0,6.0,0,0,1,2,-4.591328412864744,1.7484392345411297
2009-01-29 21:00:00,1670,1685,1675,1669,1665,1668,1684,1687,614,2309,1,1,5,-1,19,19,9,2,5,1,6,14,3,1.8,1.8,-2.0,2.0,1.0,1.0,-1.0,1.0,2.8,2.8,-3.0,3.0,-5.0,5.0,0,0,1,2,-5.548991310189426,0.3848237622502509
2009-01-30 19:00:00,1659,1687,1670,1653,1656,1651,1682,1687,2098,19440,1,1,11,-6,26,36,12,0,3,2,17,15,2,1.0909090909090908,1.0909090909090908,-0.0,0.0,0.2727272727272727,0.2727272727272727,-0.3333333333333333,0.3333333333333333,1.3636363636363635,1.3636363636363635,-0.3333333333333333,0.3333333333333333,-1.8333333333333333,1.8333333333333333,0,0,1,2,-5.526919612878366,0.37069402012103475
